MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,LEVEL_BIN,N_OBSERVATIONS,BIN_MIN_ACTUAL,BIN_MAX_ACTUAL,BIN_MEAN_ACTUAL,MAE,RMSE,MEAN_ERROR
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,ensemble,"(1.2890000000000001, 3.958]",49,1.29,3.9300003,2.666122597959184,0.45422545918367346,0.6113281392562585,0.3062949326530612
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,ensemble,"(3.958, 9.2]",49,4.0,9.200003,5.893265565306122,0.9849391612244898,1.2390427655041505,-0.4983096428571428
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,ensemble,"(34.588, 56.614]",48,34.940002,55.960003,45.23312145833333,7.117778062500001,10.093871254681881,-0.6664001041666662
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,ensemble,"(56.614, 388.0]",49,57.04999,387.99994,79.12590712244898,26.673246765306125,63.31240062179311,-12.571302397959183
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,NEG,MARGINAL,168.0,ensemble,"(9.2, 34.588]",48,10.02,34.500008,21.77041720833333,4.4600105875,6.136334623211072,-1.5433922125
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,ensemble,"(12.536, 184.93]",49,12.579998,184.93002,29.17367242857143,12.87025625510204,34.34330413579336,-11.472070724489798
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,ensemble,"(3.839, 7.262]",49,3.8399997,7.2499986,6.018162685714287,0.6660345591836735,0.8374159152712309,0.46685111428571424
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,ensemble,"(7.262, 8.842]",48,7.2799997,8.809999,8.188957499999999,0.6249952625000001,0.873874590154237,0.5562247416666667
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,ensemble,"(8.842, 9.942]",49,8.849998,9.94,9.377550377551021,0.8545923306122448,1.1027973574197827,0.47495817959183684
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,AVERAGE,168.0,ensemble,"(9.942, 12.536]",48,9.949999,12.470001,10.898332406249999,0.9366692812499999,1.2149956914633249,0.43211661458333345
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,ensemble,"(11.572, 16.408]",48,11.62,16.0,13.22499928125,2.3318779875,3.032525426743922,-0.5117107166666667
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,ensemble,"(16.408, 1057.48]",49,16.680002,1057.48,76.30754828571428,56.648722734693884,206.9822750653913,-55.56796726530614
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,ensemble,"(4.249, 8.288]",49,4.25,8.259999,6.898367365306123,1.043551918367347,1.5369773369534783,0.04879860408163268
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,ensemble,"(8.288, 9.906]",48,8.329999,9.889998,9.166249479166666,1.741049377083333,2.6465755843710497,0.7491336020833331
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,12_16,POS,MARGINAL,168.0,ensemble,"(9.906, 11.572]",49,9.910002,11.559999,10.677142265306125,1.6736921632653063,2.2655594852505176,1.2685978979591837
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,ensemble,"(0.319, 0.694]",49,0.32,0.69000006,0.5365306136734693,0.39439143775510205,0.6233384374195172,0.3929141908163265
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,ensemble,"(0.694, 1.498]",48,0.6999999,1.4100001,1.0074999766666666,0.408090605,0.5043435407731478,0.4058028841666667
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,ensemble,"(1.498, 7.422]",49,1.5199997,7.419999,3.334693873469388,0.9700982387755103,1.185384168157625,0.9040717653061223
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,ensemble,"(13.582, 29.3]",49,13.63,29.300003,18.505101204081633,1.9977712142857145,2.56242385671865,-0.1528080918367346
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,AVERAGE,168.0,ensemble,"(7.422, 13.582]",48,7.4300003,13.51,11.37416688125,1.5959642229166666,1.9487149125062242,1.4872733687500002
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,ensemble,"(0.419, 0.954]",49,0.42,0.95000005,0.7020408108163265,1.0890222275510204,3.2611849346438766,1.0890222275510204
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,ensemble,"(0.954, 2.0]",50,0.96000004,2.0,1.34540001,0.8477764712,1.1990338270934573,0.8382893008000001
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,ensemble,"(16.568, 80.35]",49,16.6,80.35,23.87367440816326,4.301833938775509,6.5828216048933506,-1.016592306122449
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,ensemble,"(2.0, 9.444]",47,2.08,9.33,4.523617197872341,1.7347076297872337,2.161703323824497,1.643012519148936
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,NEG,MARGINAL,168.0,ensemble,"(9.444, 16.568]",48,9.9,16.520002,13.428542260416668,3.0651119791666672,4.284651397891743,2.6215220208333334
bidirectional_lstm_ts168_ensemble,bidirectional_lstm,"BiLSTM (168 TimeSteps), Ensemble",DEEP_LEARNING,16_20,POS,AVERAGE,168.0,ensemble,"(14.988, 17.878]",48,15.0,17.829998,16.63999971875,1.98165525,2.613212315209097,-0.2638867708333333
