MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,STRATEGY,N_DIRECTIONAL_OBSERVATIONS,DIRECTIONAL_HIT_COUNT,DIRECTIONAL_ACCURACY
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,16_20,POS,MARGINAL,42.0,recency,242,160,0.6611570247933884
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,NEG,AVERAGE,42.0,recency,242,175,0.7231404958677686
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,NEG,MARGINAL,42.0,recency,242,172,0.7107438016528925
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,POS,AVERAGE,42.0,recency,242,201,0.8305785123966942
bidirectional_lstm_ts42_recency,bidirectional_lstm,"BiLSTM (42 TimeSteps), Weighted Ensemble",DEEP_LEARNING,20_24,POS,MARGINAL,42.0,recency,242,185,0.7644628099173554
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,00_04,NEG,AVERAGE,42.0,single,242,181,0.7479338842975206
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,00_04,NEG,MARGINAL,42.0,single,242,174,0.71900826446281
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,00_04,POS,AVERAGE,42.0,single,242,149,0.6157024793388429
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,00_04,POS,MARGINAL,42.0,single,242,143,0.5909090909090909
bidirectional_lstm_ts42_single,bidirectional_lstm,"BiLSTM (42 TimeSteps), Single",DEEP_LEARNING,04_08,NEG,AVERAGE,42.0,single,242,192,0.7933884297520661
