DATE,PRODUCT,POS_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],POS_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h],NEG_GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h]
2021-01-22 04:00:00,04_08,1.0242,1.41,4.6226,8.345
2021-01-22 08:00:00,08_12,3.4065,3.75,0.4301,0.7575
2021-01-22 12:00:00,12_16,1.54,1.85,0.415,0.7
2021-01-22 16:00:00,16_20,4.7411,8.31,0.2904,0.36
2021-01-22 20:00:00,20_24,0.9015,1.42,0.6451,0.925
2021-01-23 00:00:00,00_04,0.6495,0.8025,4.0554,5.1425
2021-01-23 04:00:00,04_08,0.9215,1.145,1.7989,2.75
2021-01-23 08:00:00,08_12,3.1288,3.55,0.3422,0.475
2021-01-23 12:00:00,12_16,1.4853,1.695,0.3493,0.4725
2021-01-23 16:00:00,16_20,4.4698,5.3025,0.2786,0.3375
2021-01-23 20:00:00,20_24,0.8864,1.03,0.4203,0.615
2021-01-24 00:00:00,00_04,0.6032,0.6925,3.3724,3.9125
2021-01-24 04:00:00,04_08,0.8062,0.99,1.7697,2.42
2021-01-24 08:00:00,08_12,2.7254,3.0225,0.3001,0.3725
2021-01-24 12:00:00,12_16,1.2926,1.465,0.2897,0.355
2021-01-24 16:00:00,16_20,4.1222,4.5,0.2445,0.3
2021-01-24 20:00:00,20_24,0.7951,0.9125,0.3523,0.475
2021-01-25 00:00:00,00_04,0.5983,0.7525,2.7346,3.47
2021-01-25 04:00:00,04_08,0.9697,1.345,1.3779,1.8475
2021-01-25 08:00:00,08_12,5.6214,8.185,0.284,0.34
2021-01-25 12:00:00,12_16,1.9648,2.9225,0.281,0.38
2021-01-25 16:00:00,16_20,5.7651,7.875,0.2445,0.3
2021-01-25 20:00:00,20_24,0.8793,1.275,0.3339,0.5
2021-01-26 00:00:00,00_04,0.7054,0.98,2.8281,3.6
2021-01-26 04:00:00,04_08,0.9977,1.34,1.1723,1.45
2021-01-26 08:00:00,08_12,5.4701,7.49,0.2787,0.495
2021-01-26 12:00:00,12_16,1.9184,2.5925,0.2812,0.42
2021-01-26 16:00:00,16_20,5.5669,6.515,0.2483,0.3
2021-01-26 20:00:00,20_24,0.9374,1.215,0.3361,0.425
2021-01-27 00:00:00,00_04,0.6899,0.9725,2.7249,3.1575
2021-01-27 04:00:00,04_08,1.0337,1.285,0.9924,1.2
2021-01-27 08:00:00,08_12,6.1357,7.455,0.2863,0.37
2021-01-27 12:00:00,12_16,1.9668,2.4225,0.2831,0.355
2021-01-27 16:00:00,16_20,5.4019,6.1725,0.247,0.3
2021-01-27 20:00:00,20_24,0.9959,1.33,0.3152,0.385
2021-01-28 00:00:00,00_04,0.6705,0.85,2.5595,3.0
2021-01-28 04:00:00,04_08,0.9868,1.2,0.8753,1.125
2021-01-28 08:00:00,08_12,6.0958,7.685,0.2552,0.3125
2021-01-28 12:00:00,12_16,1.9142,2.6075,0.2556,0.315
2021-01-28 16:00:00,16_20,5.0279,5.5,0.2427,0.3
2021-01-28 20:00:00,20_24,0.9567,1.1425,0.2994,0.3675
2021-01-29 00:00:00,00_04,0.6586,0.8425,2.6054,3.41
2021-01-29 04:00:00,04_08,0.9214,1.0475,0.8255,1.0
