MODEL,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,RMSE,MAPE,MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE,MODEL_NAME,MODEL_GROUP
bidirectional_lstm_ts168_ensemble,16_20,NEG,MARGINAL,10.567237145098808,0.5214751951283157,2.9531536573828663,0,0,65,0.14508928571428573,1136.9086495171243,0.2480965799730961,0.9150210699261283,0.8323350253752999,0.6609803486403241,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,16_20,POS,AVERAGE,18.129107604857815,0.29772275769212314,8.489989566139846,0,0,446,0.9955357142857143,5943.77477332471,0.5707202148446098,0.8542105049502509,0.517981774631967,0.6468683253092993,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,16_20,POS,MARGINAL,30.550784369157704,0.23023008187908617,10.441288075001879,0,0,348,0.7767857142857143,6651.477728495148,0.6680363944916635,0.7543186612583292,0.40719701605509495,0.6104325476405956,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,20_24,NEG,AVERAGE,0.7435760989738588,0.20740216654007934,0.4833696863567574,0,0,299,0.6674107142857143,921.7004822916169,0.7009514550273048,0.9940203574073655,0.9725567391338595,0.887293936567888,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,20_24,NEG,MARGINAL,2.435598353234513,0.44148890661164214,1.4046310406719031,0,0,74,0.16517857142857142,381.3229744410148,0.3634270203330576,0.9804135613400566,0.9202522269023986,0.7507848970332498,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,20_24,POS,AVERAGE,7.307940414355623,0.24644367254663613,4.816349606958823,0,0,357,0.796875,3984.209246470916,0.6446583807572857,0.941231473380572,0.7265522799277284,0.7695524880492164,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_ensemble,20_24,POS,MARGINAL,8.123614807067472,0.25681078443596433,5.1261094784677095,0,0,225,0.5022321428571429,4019.7883081898453,0.6297102740051144,0.9346720353524913,0.7089656972362222,0.7565019449160143,"BiLSTM (168 TimeSteps, Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_recency,00_04,NEG,AVERAGE,2.5541651212356604,0.14861639951783218,1.4111221438830872,0,0,370,0.8277404921700223,2829.564421638782,0.7857133376362295,0.9794600787079641,0.919883695230344,0.8939259801959598,"BiLSTM (168 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_recency,00_04,NEG,MARGINAL,6.143077966963463,0.2245101917924733,3.0081755633855414,0,0,198,0.4429530201342282,2039.8736013623309,0.6762837760708467,0.9505989895159064,0.829211162703719,0.8172738340965642,"BiLSTM (168 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
bidirectional_lstm_ts168_recency,00_04,POS,AVERAGE,2.0039343620695846,0.4108508498692397,1.6857122056090244,0,0,84,0.18791946308724833,503.1184591566644,0.40760334906892826,0.983884889144754,0.9042938746274178,0.7616841307282525,"BiLSTM (168 TimeSteps, Weighted Ensemble)",EXPANDING_WINDOW_LSTM
